source_id,source_name,dest_id,dest_name,distance_km,mean_travel_time_min,std_travel_time_min,hod,is_peak_morning,is_peak_evening,is_off_peak,is_monsoon,quarter,speed_proxy,src_it,dst_it,src_commercial,src_residential,src_industrial,dst_commercial,dst_residential,dst_industrial,hod_sin,hod_cos
6,Hebbal,4,Koramangala,15.69,22.72,4.26,0,0,0,1,0,1,41.4349,0,0,0,1,0,1,0,0,0.0,1.0
2,Yeshwanthpur,6,Hebbal,9.79,21.68,6.94,9,1,0,0,0,1,27.0941,0,0,0,0,1,0,1,0,0.707107,-0.707107
5,Indiranagar,9,Rajajinagar,11.6,49.56,12.19,20,0,1,0,0,1,14.0436,0,0,1,0,0,0,1,0,-0.866025,0.5
15,Banashankari,4,Koramangala,12.01,53.47,14.98,18,0,1,0,0,1,13.4767,0,0,0,1,0,1,0,0,-1.0,-0.0
8,Jayanagar,1,Marathahalli,17.23,58.83,16.87,18,0,1,0,0,1,17.5727,0,1,0,1,0,0,0,0,-1.0,-0.0
1,Marathahalli,4,Koramangala,11.19,40.35,14.62,10,1,0,0,0,1,16.6394,1,0,0,0,0,1,0,0,0.5,-0.866025
1,Marathahalli,4,Koramangala,11.19,18.02,5.67,5,0,0,1,0,1,37.2586,1,0,0,0,0,1,0,0,0.965926,0.258819
4,Koramangala,5,Indiranagar,5.99,26.57,7.91,17,0,1,0,0,1,13.5265,0,0,1,0,0,1,0,0,-0.965926,-0.258819
5,Indiranagar,11,HSR Layout,9.51,31.4,8.81,21,0,0,1,0,1,18.172,0,0,1,0,0,1,0,0,-0.707107,0.707107
8,Jayanagar,2,Yeshwanthpur,14.27,25.16,8.66,1,0,0,1,0,1,34.0302,0,0,0,1,0,0,0,1,0.258819,0.965926
0,Whitefield,9,Rajajinagar,24.58,37.66,7.1,1,0,0,1,0,1,39.1609,1,0,0,0,0,0,1,0,0.258819,0.965926
1,Marathahalli,10,BTM Layout,20.93,40.77,16.02,20,0,1,0,0,1,30.8021,1,0,0,0,0,0,1,0,-0.866025,0.5
14,MG Road,3,Yelahanka,16.14,21.92,8.46,4,0,0,1,0,1,44.1788,0,0,1,0,0,0,1,0,0.866025,0.5
3,Yelahanka,10,BTM Layout,25.99,63.17,11.75,20,0,1,0,0,1,24.6858,0,0,0,1,0,0,1,0,-0.866025,0.5
7,Electronic City,15,Banashankari,19.66,20.36,4.4,1,0,0,1,0,1,57.9371,1,0,0,0,0,0,1,0,0.258819,0.965926
13,Sarjapur Road,1,Marathahalli,9.72,7.09,5.42,6,0,0,1,0,1,82.2567,1,1,0,0,0,0,0,0,1.0,0.0
6,Hebbal,10,BTM Layout,18.73,23.59,4.56,0,0,0,1,0,1,47.6388,0,0,0,1,0,0,1,0,0.0,1.0
3,Yelahanka,13,Sarjapur Road,31.68,51.06,18.43,1,0,0,1,0,1,37.2268,0,1,0,1,0,0,0,0,0.258819,0.965926
15,Banashankari,5,Indiranagar,15.3,45.53,8.94,21,0,0,1,0,1,20.1625,0,0,0,1,0,1,0,0,-0.707107,0.707107
2,Yeshwanthpur,14,MG Road,12.76,28.09,7.84,22,0,0,1,0,1,27.2553,0,0,0,0,1,1,0,0,-0.5,0.866025
5,Indiranagar,1,Marathahalli,8.1,33.6,11.29,18,0,1,0,0,1,14.4643,0,1,1,0,0,0,0,0,-1.0,-0.0
7,Electronic City,15,Banashankari,19.66,46.89,9.04,16,0,0,1,0,1,25.1567,1,0,0,0,0,0,1,0,-0.866025,-0.5
10,BTM Layout,14,MG Road,13.9,34.55,10.48,18,0,1,0,0,1,24.1389,0,0,0,1,0,1,0,0,-1.0,-0.0
4,Koramangala,2,Yeshwanthpur,18.13,51.06,10.98,8,1,0,0,0,1,21.3043,0,0,1,0,0,0,0,1,0.866025,-0.5
12,Bannerghatta Rd,0,Whitefield,22.66,74.61,16.27,19,0,1,0,0,1,18.2228,0,1,0,1,0,0,0,0,-0.965926,0.258819
6,Hebbal,14,MG Road,9.7,10.74,4.16,4,0,0,1,0,1,54.1899,0,0,0,1,0,1,0,0,0.866025,0.5
7,Electronic City,0,Whitefield,20.22,41.37,10.85,21,0,0,1,0,1,29.3256,1,1,0,0,0,0,0,0,-0.707107,0.707107
2,Yeshwanthpur,14,MG Road,12.76,41.39,8.7,12,0,0,1,0,1,18.4972,0,0,0,0,1,1,0,0,0.0,-1.0
2,Yeshwanthpur,8,Jayanagar,14.64,54.25,9.28,16,0,0,1,0,1,16.1917,0,0,0,0,1,0,1,0,-0.866025,-0.5
3,Yelahanka,0,Whitefield,31.0,64.37,15.71,9,1,0,0,0,1,28.8954,0,1,0,1,0,0,0,0,0.707107,-0.707107
3,Yelahanka,9,Rajajinagar,18.04,42.51,9.24,8,1,0,0,0,1,25.4622,0,0,0,1,0,0,1,0,0.866025,-0.5
3,Yelahanka,7,Electronic City,34.83,71.26,11.93,13,0,0,1,0,1,29.3264,0,1,0,1,0,0,0,0,-0.258819,-0.965926
9,Rajajinagar,3,Yelahanka,16.84,33.12,12.61,3,0,0,1,0,1,30.5072,0,0,0,1,0,0,1,0,0.707107,0.707107
7,Electronic City,8,Jayanagar,16.21,24.14,9.87,20,0,1,0,0,1,40.29,1,0,0,0,0,0,1,0,-0.866025,0.5
13,Sarjapur Road,10,BTM Layout,15.85,22.05,6.84,0,0,0,1,0,1,43.1293,1,0,0,0,0,0,1,0,0.0,1.0
6,Hebbal,2,Yeshwanthpur,9.51,11.53,4.82,4,0,0,1,0,1,49.4883,0,0,0,1,0,0,0,1,0.866025,0.5
13,Sarjapur Road,6,Hebbal,23.82,40.28,10.83,6,0,0,1,0,1,35.4816,1,0,0,0,0,0,1,0,1.0,0.0
3,Yelahanka,1,Marathahalli,27.38,49.67,21.3,1,0,0,1,0,1,33.0743,0,1,0,1,0,0,0,0,0.258819,0.965926
7,Electronic City,5,Indiranagar,18.77,38.6,10.73,20,0,1,0,0,1,29.1762,1,0,0,0,0,1,0,0,-0.866025,0.5
0,Whitefield,10,BTM Layout,24.58,35.71,8.63,23,0,0,1,0,1,41.2994,1,0,0,0,0,0,1,0,-0.258819,0.965926
7,Electronic City,14,MG Road,19.98,35.31,10.21,11,0,0,1,0,1,33.9507,1,0,0,0,0,1,0,0,0.258819,-0.965926
12,Bannerghatta Rd,8,Jayanagar,5.89,32.84,9.59,18,0,1,0,0,1,10.7613,0,0,0,1,0,0,1,0,-1.0,-0.0
5,Indiranagar,4,Koramangala,6.0,19.49,6.1,22,0,0,1,0,1,18.471,0,0,1,0,0,1,0,0,-0.5,0.866025
11,HSR Layout,12,Bannerghatta Rd,7.85,23.94,7.77,14,0,0,1,0,1,19.6742,0,0,1,0,0,0,1,0,-0.5,-0.866025
8,Jayanagar,5,Indiranagar,11.77,39.41,12.13,10,1,0,0,0,1,17.9193,0,0,0,1,0,1,0,0,0.5,-0.866025
6,Hebbal,7,Electronic City,27.57,34.38,8.3,23,0,0,1,0,1,48.1152,0,1,0,1,0,0,0,0,-0.258819,0.965926
5,Indiranagar,6,Hebbal,11.65,52.85,14.75,18,0,1,0,0,1,13.2261,0,0,1,0,0,0,1,0,-1.0,-0.0
4,Koramangala,12,Bannerghatta Rd,8.07,31.26,8.56,15,0,0,1,0,1,15.4894,0,0,1,0,0,0,1,0,-0.707107,-0.707107
9,Rajajinagar,8,Jayanagar,9.11,39.6,10.36,10,1,0,0,0,1,13.803,0,0,0,1,0,0,1,0,0.5,-0.866025
15,Banashankari,14,MG Road,11.43,38.84,9.22,17,0,1,0,0,1,17.6571,0,0,0,1,0,1,0,0,-0.965926,-0.258819
10,BTM Layout,14,MG Road,13.9,14.77,6.17,3,0,0,1,0,1,56.4658,0,0,0,1,0,1,0,0,0.707107,0.707107
4,Koramangala,6,Hebbal,15.35,48.17,10.59,20,0,1,0,0,1,19.1198,0,0,1,0,0,0,1,0,-0.866025,0.5
10,BTM Layout,8,Jayanagar,9.64,15.18,8.19,12,0,0,1,0,1,38.1028,0,0,0,1,0,0,1,0,0.0,-1.0
6,Hebbal,5,Indiranagar,11.32,32.7,9.02,13,0,0,1,0,1,20.7706,0,0,0,1,0,1,0,0,-0.258819,-0.965926
11,HSR Layout,4,Koramangala,4.21,7.95,4.93,23,0,0,1,0,1,31.7736,0,0,1,0,0,1,0,0,-0.258819,0.965926
13,Sarjapur Road,5,Indiranagar,14.47,32.65,9.9,13,0,0,1,0,1,26.5911,1,0,0,0,0,1,0,0,-0.258819,-0.965926
10,BTM Layout,2,Yeshwanthpur,22.24,73.55,15.21,18,0,1,0,0,1,18.1428,0,0,0,1,0,0,0,1,-1.0,-0.0
4,Koramangala,10,BTM Layout,9.75,24.92,11.01,19,0,1,0,0,1,23.4751,0,0,1,0,0,0,1,0,-0.965926,0.258819
1,Marathahalli,2,Yeshwanthpur,23.31,57.9,10.03,14,0,0,1,0,1,24.1554,1,0,0,0,0,0,0,1,-0.5,-0.866025
1,Marathahalli,6,Hebbal,20.22,29.96,6.38,1,0,0,1,0,1,40.494,1,0,0,0,0,0,1,0,0.258819,0.965926
5,Indiranagar,10,BTM Layout,15.75,41.91,10.25,12,0,0,1,0,1,22.5483,0,0,1,0,0,0,1,0,0.0,-1.0
8,Jayanagar,2,Yeshwanthpur,14.27,41.21,7.95,21,0,0,1,0,1,20.7765,0,0,0,1,0,0,0,1,-0.707107,0.707107
14,MG Road,13,Sarjapur Road,14.72,43.51,15.76,9,1,0,0,0,1,20.2988,0,1,1,0,0,0,0,0,0.707107,-0.707107
14,MG Road,5,Indiranagar,3.93,9.12,4.95,1,0,0,1,0,1,25.8553,0,0,1,0,0,1,0,0,0.258819,0.965926
12,Bannerghatta Rd,8,Jayanagar,5.89,29.65,9.33,8,1,0,0,0,1,11.9191,0,0,0,1,0,0,1,0,0.866025,-0.5
15,Banashankari,1,Marathahalli,22.32,74.85,15.98,19,0,1,0,0,1,17.8918,0,1,0,1,0,0,0,0,-0.965926,0.258819
8,Jayanagar,12,Bannerghatta Rd,5.87,20.93,8.21,8,1,0,0,0,1,16.8275,0,0,0,1,0,0,1,0,0.866025,-0.5
13,Sarjapur Road,10,BTM Layout,15.85,41.16,12.32,15,0,0,1,0,1,23.105,1,0,0,0,0,0,1,0,-0.707107,-0.707107
15,Banashankari,11,HSR Layout,11.88,54.71,13.97,17,0,1,0,0,1,13.0287,0,0,0,1,0,1,0,0,-0.965926,-0.258819
1,Marathahalli,2,Yeshwanthpur,23.31,31.01,7.97,4,0,0,1,0,1,45.1016,1,0,0,0,0,0,0,1,0.866025,0.5
12,Bannerghatta Rd,4,Koramangala,7.82,36.29,10.01,20,0,1,0,0,1,12.9292,0,0,0,1,0,1,0,0,-0.866025,0.5
4,Koramangala,5,Indiranagar,5.99,18.09,5.72,22,0,0,1,0,1,19.8673,0,0,1,0,0,1,0,0,-0.5,0.866025
7,Electronic City,12,Bannerghatta Rd,16.58,8.09,6.26,23,0,0,1,0,1,122.9666,1,0,0,0,0,0,1,0,-0.258819,0.965926
12,Bannerghatta Rd,9,Rajajinagar,15.02,38.75,6.15,23,0,0,1,0,1,23.2568,0,0,0,1,0,0,1,0,-0.258819,0.965926
6,Hebbal,1,Marathahalli,19.38,30.86,7.57,1,0,0,1,0,1,37.6798,0,1,0,1,0,0,0,0,0.258819,0.965926
7,Electronic City,1,Marathahalli,18.02,33.78,10.47,18,0,1,0,0,1,32.0071,1,1,0,0,0,0,0,0,-1.0,-0.0
13,Sarjapur Road,15,Banashankari,17.99,96.96,16.55,19,0,1,0,0,1,11.1324,1,0,0,0,0,0,1,0,-0.965926,0.258819
12,Bannerghatta Rd,0,Whitefield,22.66,57.72,10.76,14,0,0,1,0,1,23.5551,0,1,0,1,0,0,0,0,-0.5,-0.866025
12,Bannerghatta Rd,10,BTM Layout,7.2,10.14,4.37,0,0,0,1,0,1,42.6036,0,0,0,1,0,0,1,0,0.0,1.0
7,Electronic City,12,Bannerghatta Rd,16.58,13.64,11.56,18,0,1,0,0,1,72.9326,1,0,0,0,0,0,1,0,-1.0,-0.0
12,Bannerghatta Rd,9,Rajajinagar,15.02,77.04,12.18,18,0,1,0,0,1,11.6978,0,0,0,1,0,0,1,0,-1.0,-0.0
3,Yelahanka,9,Rajajinagar,18.04,42.52,8.86,13,0,0,1,0,1,25.4563,0,0,0,1,0,0,1,0,-0.258819,-0.965926
13,Sarjapur Road,12,Bannerghatta Rd,14.22,49.63,11.58,21,0,0,1,0,1,17.1912,1,0,0,0,0,0,1,0,-0.707107,0.707107
9,Rajajinagar,6,Hebbal,11.24,24.55,7.38,13,0,0,1,0,1,27.4705,0,0,0,1,0,0,1,0,-0.258819,-0.965926
12,Bannerghatta Rd,13,Sarjapur Road,14.21,42.08,11.47,6,0,0,1,0,1,20.2614,0,1,0,1,0,0,0,0,1.0,0.0
13,Sarjapur Road,9,Rajajinagar,20.89,85.18,20.15,18,0,1,0,0,1,14.7147,1,0,0,0,0,0,1,0,-1.0,-0.0
1,Marathahalli,8,Jayanagar,17.26,29.63,10.87,3,0,0,1,0,1,34.9511,1,0,0,0,0,0,1,0,0.707107,0.707107
15,Banashankari,6,Hebbal,18.5,58.19,11.76,19,0,1,0,0,1,19.0754,0,0,0,1,0,0,1,0,-0.965926,0.258819
2,Yeshwanthpur,15,Banashankari,14.56,37.14,5.55,7,1,0,0,0,1,23.5218,0,0,0,0,1,0,1,0,0.965926,-0.258819
15,Banashankari,9,Rajajinagar,10.72,34.32,8.33,16,0,0,1,0,1,18.7413,0,0,0,1,0,0,1,0,-0.866025,-0.5
1,Marathahalli,13,Sarjapur Road,10.56,4.11,3.5,6,0,0,1,0,1,154.1606,1,1,0,0,0,0,0,0,1.0,0.0
6,Hebbal,15,Banashankari,17.81,50.14,11.54,9,1,0,0,0,1,21.3123,0,0,0,1,0,0,1,0,0.707107,-0.707107
13,Sarjapur Road,2,Yeshwanthpur,25.83,38.02,8.04,4,0,0,1,0,1,40.7628,1,0,0,0,0,0,0,1,0.866025,0.5
4,Koramangala,13,Sarjapur Road,9.83,35.0,10.06,15,0,0,1,0,1,16.8514,0,1,1,0,0,0,0,0,-0.707107,-0.707107
8,Jayanagar,11,HSR Layout,8.12,16.52,7.64,6,0,0,1,0,1,29.4915,0,0,0,1,0,1,0,0,1.0,0.0
7,Electronic City,5,Indiranagar,18.77,47.51,15.24,10,1,0,0,0,1,23.7045,1,0,0,0,0,1,0,0,0.5,-0.866025
9,Rajajinagar,12,Bannerghatta Rd,15.71,36.79,10.85,23,0,0,1,0,1,25.6211,0,0,0,1,0,0,1,0,-0.258819,0.965926
15,Banashankari,10,BTM Layout,8.17,33.61,7.78,13,0,0,1,0,1,14.5849,0,0,0,1,0,0,1,0,-0.258819,-0.965926
13,Sarjapur Road,9,Rajajinagar,20.89,70.6,27.73,8,1,0,0,0,1,17.7535,1,0,0,0,0,0,1,0,0.866025,-0.5
0,Whitefield,2,Yeshwanthpur,29.07,52.64,11.44,22,0,0,1,0,1,33.1345,1,0,0,0,0,0,0,1,-0.5,0.866025
0,Whitefield,6,Hebbal,25.97,33.09,10.44,4,0,0,1,0,1,47.0898,1,0,0,0,0,0,1,0,0.866025,0.5
2,Yeshwanthpur,11,HSR Layout,21.06,55.61,12.22,7,1,0,0,0,1,22.7225,0,0,0,0,1,1,0,0,0.965926,-0.258819
2,Yeshwanthpur,0,Whitefield,29.02,64.08,13.48,12,0,0,1,0,1,27.1723,0,1,0,0,1,0,0,0,0.0,-1.0
5,Indiranagar,1,Marathahalli,8.1,33.82,10.53,8,1,0,0,0,1,14.3702,0,1,1,0,0,0,0,0,0.866025,-0.5
2,Yeshwanthpur,1,Marathahalli,22.53,68.84,16.13,19,0,1,0,0,1,19.6368,0,1,0,0,1,0,0,0,-0.965926,0.258819
15,Banashankari,12,Bannerghatta Rd,8.61,36.94,9.65,14,0,0,1,0,1,13.9848,0,0,0,1,0,0,1,0,-0.5,-0.866025
