Zone,Whitefield,Koramangala,Indiranagar,Hebbal,Marathahalli,Electronic City,Jayanagar,Rajajinagar,Yeshwanthpur,BTM Layout,HSR Layout,Bannerghatta Rd,Yelahanka,Sarjapur Road,MG Road,Banashankari
Whitefield,0.0,16.94,14.61,25.97,7.3,23.75,23.01,24.58,29.07,24.58,16.28,22.95,33.12,14.88,19.37,26.72
Koramangala,17.25,0.0,5.99,15.35,10.77,12.77,6.07,13.2,18.13,9.75,4.62,8.07,22.49,9.83,6.95,11.89
Indiranagar,14.58,6.0,0.0,11.65,8.1,18.78,12.76,11.6,14.74,15.75,9.51,14.07,18.79,14.73,4.27,16.2
Hebbal,23.13,15.69,11.32,0.0,19.38,27.57,14.37,10.78,9.51,18.73,19.2,19.85,9.43,24.41,9.7,17.81
Marathahalli,7.02,11.19,8.86,20.22,0.0,19.82,17.26,18.83,23.31,20.93,11.31,17.97,27.36,10.56,13.62,21.94
Electronic City,20.22,14.43,18.77,29.04,18.02,0.0,16.21,23.39,28.32,17.52,10.37,16.58,34.64,10.44,19.98,19.66
Jayanagar,23.2,6.91,11.77,14.98,17.23,16.26,0.0,9.31,14.27,4.41,8.12,5.87,20.58,14.75,7.91,5.47
Rajajinagar,24.94,12.65,11.35,11.24,18.45,23.43,9.11,0.0,6.35,13.47,15.79,15.71,16.84,21.0,7.49,10.29
Yeshwanthpur,29.02,17.91,14.47,9.79,22.53,28.7,14.64,5.57,0.0,18.99,21.06,20.98,15.19,26.27,12.76,14.56
BTM Layout,19.05,6.09,11.38,22.96,13.33,12.11,9.64,17.31,22.24,0.0,4.1,9.65,28.56,10.6,13.9,13.09
HSR Layout,16.32,4.21,9.5,18.85,10.6,10.47,8.12,15.93,20.86,9.43,0.0,7.85,27.18,7.87,10.45,11.57
Bannerghatta Rd,22.66,7.82,13.36,20.66,16.94,18.06,5.89,15.02,19.95,7.2,7.58,0.0,26.27,14.21,10.39,9.34
Yelahanka,31.0,22.95,19.32,9.11,27.38,34.83,21.64,18.04,15.58,25.99,26.46,27.11,0.0,31.68,16.96,25.08
Sarjapur Road,14.97,9.18,14.47,23.82,9.72,10.41,14.54,20.89,25.83,15.85,7.55,14.22,32.14,0.0,15.42,17.99
MG Road,17.51,5.99,3.93,9.25,11.03,18.76,8.97,7.81,11.86,13.32,9.5,10.26,16.14,14.72,0.0,12.41
Banashankari,26.97,12.01,15.3,18.5,22.32,20.02,5.46,10.72,15.79,8.17,11.88,8.61,24.11,18.51,11.43,0.0
