sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time,quarter,source_name,dest_name,distance_km
55,157,0,1363.1,255.38,1343.56,1.18,1,Hebbal,Koramangala,15.69
25,55,9,1301.06,416.42,1243.27,1.34,1,Yeshwanthpur,Hebbal,9.79
80,109,20,2973.61,731.3,2896.02,1.25,1,Indiranagar,Rajajinagar,11.6
144,157,18,3207.95,898.67,3096.49,1.3,1,Banashankari,Koramangala,12.01
140,197,18,3530.07,1012.1,3391.62,1.33,1,Jayanagar,Marathahalli,17.23
197,157,10,2421.27,877.44,2263.14,1.46,1,Marathahalli,Koramangala,11.19
197,157,5,1081.34,340.13,1037.21,1.32,1,Marathahalli,Koramangala,11.19
157,80,17,1594.29,474.62,1533.95,1.31,1,Koramangala,Indiranagar,5.99
80,171,21,1883.96,528.83,1819.67,1.29,1,Indiranagar,HSR Layout,9.51
140,25,1,1509.47,519.78,1437.85,1.35,1,Jayanagar,Yeshwanthpur,14.27
167,109,1,2259.42,425.96,2220.54,1.2,1,Whitefield,Rajajinagar,24.58
197,161,20,2445.92,961.38,2262.97,1.49,1,Marathahalli,BTM Layout,20.93
89,3,4,1315.24,507.46,1241.23,1.38,1,MG Road,Yelahanka,16.14
3,161,20,3790.19,705.22,3726.46,1.2,1,Yelahanka,BTM Layout,25.99
172,144,1,1221.45,263.78,1193.09,1.24,1,Electronic City,Banashankari,19.66
165,197,6,425.46,325.19,326.22,2.14,1,Sarjapur Road,Marathahalli,9.72
55,161,0,1415.35,273.57,1394.15,1.18,1,Hebbal,BTM Layout,18.73
3,165,1,3063.63,1105.81,2875.43,1.43,1,Yelahanka,Sarjapur Road,31.68
144,80,21,2731.7,536.55,2682.34,1.21,1,Banashankari,Indiranagar,15.3
25,89,22,1685.56,470.14,1627.5,1.3,1,Yeshwanthpur,MG Road,12.76
80,197,18,2016.25,677.3,1911.15,1.39,1,Indiranagar,Marathahalli,8.1
172,144,16,2813.14,542.16,2762.2,1.21,1,Electronic City,Banashankari,19.66
161,89,18,2073.15,628.95,1985.49,1.34,1,BTM Layout,MG Road,13.9
